		nouns 1st decl
anima, animae, f	mind	
aquila, aquilae, f	eagle	
avāritia, avāritiae, f	greed	
catēna, catēnae, f	chain	
coma, comae, f	hair	
corōna, corōnae, f	crown	
culpa, culpae, f	fault	
fāma, fāmae, f	rumour	
fōrma, fōrmae, f	shape	
fossa, fossae, f	ditch	
harēna, harēnae, f	sand	
inopia, inopiae, f	shortage	
iūstitia, iūstitiae, f	justice	
lingua, linguae, f	language	
minae, minārum, f	threats	
mora, morae, f	delay	
ōra, ōrae, f	seashore	
praeda, praedae, f	plunder	
rīpa, rīpae, f	river bank	
sagitta, sagittae, f	arrow	
scientia, scientiae, f	knowledge	
tenebrae, tenebrārum, f	darkness	
tuba, tubae, f	trumpet	
		2nd decl
avus, avī, m	grandfather	
dolus, dolī, m	trickery	
pontus, pontī, m	sea	
rāmus, rāmī, m	branch	
rēmus, rēmī, m	oar	
somnus, somnī, m	sleep	
umerus, umerī, f	shoulder	
		
antrum, antrī, n	cave	
argentum, argentī, n	silver	
Capitōlium, Capitōliī, n	the Capitoline Hill	
exitium, exitiī, n	destruction	
hiberna, hibernōrum, n	winter camp	
hospitium, hospitiī, n	hospitality	
impedimenta, impedimentōrum, n	baggage	
ingenium, ingeniī, n	character	
iūdicium, iūdiciī, n	trial	
lētum, lētī, n	death	
ferrum, ferrī, n	iron	
ōtium, ōtiī, n	leisure	
pelagus, pelagī, n	open sea	
scūtum, scūtī, n	shield	
similācrum, simulācrī, n	image	
solum, solī, n	ground	
supplicium, suppliciī, n	death penalty	
telum, telī, n	spear	
vallum, vallī, n	palisade	
vēlum, veli, n	sail	
vēstīgium, vēstīgiī, n	track	
vinculum, vinculī, n	chains	
vulgus, vulgī, n	rabble	
		3rd decl
agger, aggeris, m	rampart	
crīnis, crīnis, m	hair	
ēnsis, ēnsis, m	sword	
fūnis, fūnis, m	rope	
genitor, genitōris, m	father	
Mānēs, Mānium, m	spirits of the dead	
mōs, mōris, m	custom	
nepōs, nepōtis, m	grandson	
obses, obsidis, m	hostage	
pedes, peditis, m	foot soldier	
praedō, praedōnis, m	robber	
pudor, pudōris, m	sense of honour	
sermō, sermōnis, m	conversation	
vātēs, vātis, m	prophet	
vesper, vesperis, m	evening	
		
aestās, aestātis, f	summer	
aetās, aetātis, f	age	
altitūdō, altitūdinis, f	depth	
avis, avis, f	bird	
classis, classis, f	fleet of ships	
coniūrātiō, coniūrātiōnis, f	conspiracy	
contentiō, contentiōnis, f	struggle	
ēruptiō, ēruptiōnis, f	counterattack	
famēs, famis, f	hunger	
fax, facis, f	torch	
imāgō, imāginis, f	form	
iuventūs, iuventūtis, f	youth	
māgnitūdō, māgnitūdinis, f	size	
mōlēs, mōlis, f	mass	
mūnitiō, mūnitiōnis, f	fortification	
nūbēs, nūbis, f	cloud	
occāsiō, occāsiōnis, f	opportunity	
palūs, palūdis, f	swamp	
pellis, pellis, f	skin	
pestis, pestis, f	plague	
rūpēs, rūpis, f	cliff	
secūris, secūris, f	axe	
sīdus, sīderis, n	star	
sors, sortis, f	fortune	
stirps, stirpis, f	lineage	
tellūs, tellūris, f	earth	
turris, turris, f	tower	
voluptās, voluptātis, f	pleasure	
		
aequor, aequoris, n	sea	
aes, aeris, n	bronze	
aethēr, aetheris, n	sky	
certāmen, certāminis, n	struggle	
cor, cordis, n	heart	
facinus, facinoris, n	crime	
foedus, foederis, n	treaty	
fulmen, fulminis, n	thunder	
fūnus, fūneris, n	funeral	
lūmen, lūminis, n	light	
nemus, nemoris, n	grove	
nūmen, nūminis, n	divinity	
onus, oneris, n	burden	
ōs, ōris, n	face	
os, ossis, n	bone	
pondus, ponderis, n	weight	
		4th decl
adventus, adventūs, m	arrival	
cāsūs, cāsūs, m	chance	
cōnsulātus, cōnsulātūs, m	consulship	
cornū, cornūs, n	horn	
equitātus, equitātūs, m	cavalry	
fluctus, fluctūs, n	wave of a river	
impetus, impetūs, m	attack	
lūctus, lūctus, m	mourning	
sinus, sinūs, m	bay	
strepitus, strepitūs, m	uproar	
tumultus, tumultūs, m	riot	
versus, versūs, m	verse	
		5th decl
aciēs, aciēī, f	battle-line	
effigiēs, effigiēī, f	likeness	
faciēs, faciēī, f	face	
rēs pūblica, rēī pūblicae, f	state	
